rank,name,pos,team,POSRANK,BYE,MB,MC,TC,EK,FY,AVG
1,D.Johnson, RB, ARI,RB1,8,1,1,1,1,2,1.2
2,L.Bell, RB, PIT,RB2,9,2,2,2,2,1,1.8
3,E.Elliott, RB, DAL,RB3,6,3,3,4,3,3,3.2
4,A.Brown, WR, PIT,WR1,9,4,4,3,4,4,3.8
5,O.Beckham, WR, NYG,WR2,8,7,6,8,5,5,6.2
6,J.Jones, WR, ATL,WR3,5,11,5,5,7,7,7
7,L.McCoy, RB, BUF,RB4,6,6,11,6,10,6,7.8
8,J.Nelson, WR, GB,WR4,8,5,8,7,8,13,8.2
9,M.Evans, WR, TB,WR5,1,8,9,12,6,8,8.6
10,D.Freeman, RB, ATL,RB5,5,12,12,9,12,9,10.8
11,M.Gordon, RB, LAC,RB6,9,9,13,11,11,11,11
12,A.Green, WR, CIN,WR6,6,13,7,13,13,10,11.2
13,J.Howard, RB, CHI,RB7,9,10,15,10,15,12,12.4
14,M.Thomas, WR, NO,WR7,5,14,10,16,9,18,13.4
15,D.Murray, RB, TEN,RB8,8,15,18,20,16,15,16.8
16,B.Cooks, WR, NE,WR8,9,17,19,15,14,20,17
17,J.Ajayi, RB, MIA,RB9,1,24,14,14,18,16,17.2
18,T.Gurley, RB, LAR,RB10,8,22,16,17,19,19,18.6
19,L.Fournette, RB, JAC,RB11,8,16,26,21,26,17,21.2
20,D.Baldwin, WR, SEA,WR9,6,20,22,22,17,27,21.6
21,T.Hilton, WR, IND,WR10,11,29,17,18,20,25,21.8
22,D.Bryant, WR, DAL,WR11,6,18,20,26,32,14,22
23,A.Cooper, WR, OAK,WR12,10,28,24,19,21,21,22.6
24,R.Gronkowski, TE, NE,TE1,9,21,21,24,33,22,24.2
25,L.Miller, RB, HOU,RB12,7,30,29,27,24,24,26.8
26,I.Crowell, RB, CLE,RB13,9,19,39,23,25,29,27
27,T.Pryor, WR, WAS,WR13,5,27,25,30,23,38,28.6
28,D.Thomas, WR, DEN,WR14,5,33,27,34,22,32,29.6
29,K.Hunt, RB, KC,RB14,10,25,40,25,28,34,30.4
30,D.Hopkins, WR, HOU,WR15,7,40,23,28,35,31,31.4
31,A.Jeffery, WR, PHI,WR16,10,32,31,32,36,28,31.8
32,M.Lynch, RB, OAK,RB15,10,23,28,31,52,26,32
